company,sector,subsector,year,quarter,amount_usd_m,round_type,lead_investor,country,source_name,source_url,note
Axiom Space,Space,space; commercial space station; ISS; orbital; crewed spaceflight,2023,Q3,350,Series C (extension implied),Undisclosed,USA,Crunchbase News — The Week's 10 Biggest Funding Rounds: Axiom Space Rockets To Top (Oct 2023),https://news.crunchbase.com/venture/biggest-funding-rounds-biotch-artificial-intelligence-space-axiom/,Described as 'top of this week's list' for the week of ~Labor Day 2023. One of the largest commercial space station raises of 2023.
Blue Origin,Space,space; launch vehicle; New Glenn; commercial launch; space infrastructure,2023,Q4,2000,Self-Recapitalization (personal capital),Jeff Bezos (personal capital injection),USA,Space Capital IQ — Q4 2023 Review Podcast,https://www.spacecapital.com/podcasts/space-iq-q4-2023-review,⚠️ NOT a traditional VC round — Jeff Bezos personal capital. Not included in Crunchbase VC definitions. Would classify as 'private equity' or self-funding in the plan doc schema. Included here for completeness as a large capital event.
SpaceX,Space,space; launch; Starlink; satellite; Starship; space infrastructure,2023,Q1,750,Private Round,Andreessen Horowitz (a16z) — reported likely lead,USA,Crunchbase News — SpaceX Shooting For $750M Round At $137B Valuation,https://news.crunchbase.com/venture/spacex-unicorn-fundraise-2023-musk-a16z,⚠️ Exact close confirmation not in retrieved sources. CNBC reported the raise was in progress. Verify exact amount and close date against primary announcement.
Astranis,Space,space; satellites; satellite internet; connectivity; remote sensing,2023,Q2,200,Series C,Andreessen Horowitz (a16z),USA,Crunchbase News — Astranis Aims For Stars With New $200M Round (Jul 2024 references Apr 2023 raise),https://news.crunchbase.com/venture/startup-astranis-raise-andreessen-bam,Confirmed April 2023 at $1.6B valuation per Bloomberg. Later raised another $200M round in July 2024 co-led by a16z and Bam Elevate.
Sierra Space,Space,space; commercial space station; Dream Chaser; orbital; dual-use,2023,Q1,290,Series B,Undisclosed,USA,Worth — Investments in Space Tech Companies Surged in 2024,https://worth.com/space-tech-boom-2024/,Dual-use: Sierra Space has both commercial and defense/government contracts. Later raised $1.5B in 2025.
Shield AI,Defense,defense tech; AI pilots; autonomous drones; autonomy; C4ISR; Hivemind,2023,Q4,200,Series F,Riot Ventures; US Innovative Technology Fund,USA,Crunchbase News — The 10 Biggest Rounds Of March 2025 (references Oct 2023 Series F),https://news.crunchbase.com/venture/biggest-rounds-march-2025-ai-it-fintech/,The $200M Series F (October 2023) had an additional $300M in debt + equity added — some of that addition likely closed in 2024. Combined round total: $500M.
True Anomaly,Dual-Use,space security; orbital defense; space situational awareness; dual-use; SSA,2023,Q4,100,Series B,Riot Ventures,USA,Crunchbase News — Defense Tech Funding Slows At Start Of Year (references Dec 2023 raise),https://news.crunchbase.com/ai/defense-military-ai-tech-startups-vc-funding-anduril-shield-ai/,Space-defense dual-use company. Later raised $260M Series C in May 2025 and $600M Series D in April/May 2026.
Gecko Robotics,Defense,defense tech; robotics; critical infrastructure; inspection; dual-use,2023,Q4,100,Series C Extension,US Innovative Technology Fund; Founders Fund,USA,Crunchbase News — Defense Tech Funding Slows At Start Of Year,https://news.crunchbase.com/ai/defense-military-ai-tech-startups-vc-funding-anduril-shield-ai/,Prior $73M Series C in March 2022. December 2023 extension adds $100M. Defense-critical infrastructure inspection.
Anduril Industries,Defense,defense tech; autonomous weapons; AI; drones; undersea vehicles; autonomous aircraft; Lattice AI,2024,Q3,1500,Series F,Founders Fund; Sands Capital Ventures,USA,TechCrunch — Anduril Raises $1.5B To Hyper-Scale Defense Production,https://techcrunch.com/2024/08/07/anduril-raises-1-5b-to-hyper-scale-defense-production,Anduril $1.5B = 50% of the Crunchbase annual defense total ($3B) for 2024. US Army $22B AR/VR headset contract (originally Microsoft's) reassigned to Anduril in Feb 2025.
Helsing,Defense,defense tech; AI weapons; Europe; Ukraine; autonomous systems; machine learning,2024,Q2,487,Series C,General Catalyst,Germany,TechCrunch — Led By Anduril Defense Tech Funding Sets A New Record This Year,https://techcrunch.com/2024/11/20/led-by-anduril-defense-tech-funding-sets-a-new-record-this-year,European defense tech — included in global Crunchbase figures. Ukraine war context drove investor interest.
Astranis,Space,space; satellites; satellite internet; connectivity; geostationary,2024,Q3,200,Undisclosed,Andreessen Horowitz (a16z); Bam Elevate,USA,Crunchbase News — Astranis Aims For Stars With New $200M Round,https://news.crunchbase.com/venture/startup-astranis-raise-andreessen-bam,Space-Capital IQ infrastructure category. Satellite comms for remote/military connectivity — potential dual-use.
Saronic Technologies,Defense,defense tech; autonomous maritime; unmanned surface vessels; Navy; autonomy,2024,Q1,175,Series B,Elad Gil,USA,TechCrunch — Led By Anduril Defense Tech Funding Sets A New Record This Year,https://techcrunch.com/2024/11/20/led-by-anduril-defense-tech-funding-sets-a-new-record-this-year,Autonomous maritime = one of the fastest-growing defense sub-sectors. Saronic became one of the most-funded defense companies of 2025.
Chaos Industries,Defense,defense tech; radar; counter-UAS; detection; anti-drone; Vanquish,2024,Q4,145,Series B,Undisclosed,USA,Crunchbase News — The Week's Biggest Funding Rounds: Investors Look To Stars And Defense (May 2025),https://news.crunchbase.com/?p=91605,"Chaos raised $145M (Q4 2024) then $275M (May 2025, valued at $2B) then $510M (Nov 2025). Total: $1B+ since founding in 2022."
Epirus,Defense,defense tech; directed energy; high-power microwave; counter-UAS; anti-drone,2024,UNCONFIRMED,200,Series C,8VC,USA,Defense Tech Investors — Ellty 2025 (references $200M Series C 2024),https://www.ellty.com/blog/defense-tech-investors,Previously valued at $1.35B at Series C. Total funding >$550M by March 2025. Raised $250M Series D in March 2025 led by 8VC and Washington Harbour Partners.
Hadrian,Defense,defense manufacturing; precision machining; aerospace parts; production scale-up,2024,UNCONFIRMED,180,Series C,Lux Capital; a16z (prior rounds); others,USA,Defense Tech Investors — Ellty 2025 (references $180M Series C 2024),https://www.ellty.com/blog/defense-tech-investors,Quarter and exact close date unconfirmed. Verify against primary press release.
True Anomaly,Dual-Use,space security; orbital defense; space situational awareness; dual-use; SSA; government,2024,UNCONFIRMED,100,Series B,Eclipse Ventures,USA,Defense Tech Investors — Ellty 2025,https://www.ellty.com/blog/defense-tech-investors,"⚠️ Possible date conflict: Crunchbase confirms $100M 'late 2023' round (Dec 2023, Riot Ventures lead). The Defense Tech Investors article references 'True Anomaly $100M Series B 2024.' May be the same Dec 2023 round with a 2024 close date, or a separate tranche. Verify against primary source."
Anduril Industries,Defense,defense tech; autonomous weapons; AI; Lattice; Fury; undersea; counter-UAS; drones,2025,Q2,2500,Series G,Founders Fund,USA,TechCrunch — Anduril Raises $2.5B At $30.5B Valuation Led By Founders Fund,https://techcrunch.com/2025/06/05/anduril-raises-2-5b-at-30-5b-valuation-led-by-founders-fund,"Anduril was 8th on Crunchbase's list of largest funding rounds of 2025. Revenue: $1B in 2024, $2.2B in 2025 (per June 2026 follow-up). Raised $5B at $61B valuation in May 2026."
Saronic Technologies,Defense,defense tech; autonomous maritime; unmanned surface vessels; Navy; autonomy,2025,Q2,600,Series C,Elad Gil,USA,TechCrunch — Shield AI Raises $240M (references Saronic $600M from 'last month'),https://techcrunch.com/2025/03/06/shield-ai-raises-240-million-at-a-5-3-billion-valuation-to-commercialize-its-ai-drone-tech,"Saronic raised $830M across just three rounds (per New Market Pitch), with highest average round size (~$277M) among well-documented defense startups."
Shield AI,Defense,defense tech; AI pilots; autonomous drones; Hivemind; autonomy; C4ISR,2025,Q1,240,Series F-1 (Strategic),Hanwha Aerospace; L3 Harris Technologies (strategic); a16z; US Innovative Technology Fund,USA,TechCrunch — Shield AI Raises $240M At $5.3B Valuation,https://techcrunch.com/2025/03/06/shield-ai-raises-240-million-at-a-5-3-billion-valuation-to-commercialize-its-ai-drone-tech,"Strategic investor participation (Hanwha, L3 Harris) signals integration with traditional defense primes. Air Force selected Shield AI Hivemind for Anduril Fury jet project alongside Anduril hardware."
Epirus,Defense,defense tech; directed energy; high-power microwave; counter-UAS; Leonidas; anti-drone,2025,Q1,250,Series D,8VC; Washington Harbour Partners,USA,Crunchbase News — Startup Epirus Secures Funding Anti-Drone Tech 8VC,https://news.crunchbase.com/defense-tech/startup-epirus-secures-funding-anti-drone-tech-8vc,Mentioned by 8VC's Joe Lonsdale that Epirus tech could defend satellites and space platforms — dual-use Space/Defense classification warranted.
True Anomaly,Dual-Use,space security; orbital defense; space situational awareness; dual-use; government; commercial,2025,Q2,260,Series C,Accel,USA,Crunchbase News — The Week's Biggest Funding Rounds: Investors Look To Stars And Defense (May 2025),https://news.crunchbase.com/venture/biggest-funding-rounds-chaos-industries-true-anomaly-apex/,Later raised $600M Series D in late April/May 2026. True Anomaly represents the growing Space/Defense Dual-Use category — orbital awareness is both civilian and military-critical.
Chaos Industries,Defense,defense tech; radar; counter-UAS; detection; Vanquish; critical infrastructure,2025,Q2,275,Series C,Accel; New Enterprise Associates,USA,Crunchbase News — The Week's Biggest Funding Rounds: Investors Look To Stars And Defense (May 2025),https://news.crunchbase.com/venture/biggest-funding-rounds-chaos-industries-true-anomaly-apex/,Chaos later raised $510M in November 2025 per LA Business Journal. Total raised: $1B+ since founding in 2022.
Apex,Space,space; satellite manufacturing; spacecraft bus; mass production; government; DoD,2025,Q2,200,Series C,8VC; Point72 Ventures,USA,Crunchbase News — The 10 Biggest Rounds Of April 2025,https://news.crunchbase.com/business/biggest-rounds-april-2025-safe-superintelligence-plaid/,Apex represents the satellite manufacturing sub-sector critical to DoD's proliferated LEO (Low Earth Orbit) constellation strategy.
Sierra Space,Space,space; commercial space station; Dream Chaser; spaceplane; dual-use; Sierra Nevada,2025,Q3,1500,Undisclosed,Undisclosed,USA,SpaceNexus — Space Industry Statistics 2026,https://spacenexus.us/space-stats,⚠️ Limited sourcing for this specific $1.5B figure — verify against Sierra Space primary press release or Space Capital IQ Q3 2025 report.
Vast,Space,space; commercial space station; Haven-1; SpaceX partnership; orbital,2025,Q3,1000,Undisclosed,Undisclosed,USA,SpaceNexus — Space Industry Statistics 2026,https://spacenexus.us/space-stats,⚠️ Limited sourcing for this specific $1B figure — verify against Vast primary press release or Space Capital IQ Q3 2025 report.
Chaos Industries,Defense,defense tech; radar; counter-UAS; detection; Vanquish; critical infrastructure,2025,Q4,510,Series D (estimated),Undisclosed,USA,LA Business Journal — Defense Aerospace Top Unicorn Startups,https://labusinessjournal.com/featured/defense-aerospace-top-unicorn-startups/,⚠️ LIMITED SOURCING: $510M November 2025 figure from LA Business Journal feature. Verify exact amount and round type against primary Chaos Industries press release.
Hermeus,Defense,defense tech; hypersonic aircraft; autonomous; dual-use; Air Force,2025,Q2,150,Venture Debt (alongside $200M equity),Multiple — alongside Khosla Ventures equity round,USA,Crunchbase News — The Week's 10 Biggest Funding Rounds: SiFive Leads,https://news.crunchbase.com/venture/biggest-funding-rounds-chips-aviation-biotech-sifive,Hermeus $150M debt component is an example of the Venture Debt pattern called out in the plan document. Total round $350M. Valuation $1B post-round. Per the plan doc: systematic venture debt tracking requires PitchBook API debt-round filter.
Stability AI,AI,Generative AI / Image Generation,2022,Q3,101,Seed,Coatue; Lightspeed Venture Partners,UK,Crunchbase News — Artificial Buildup: AI Startups Were Hot In 2023 (Jan 2024 references 2022 raises),https://news.crunchbase.com/ai/hot-startups-2023-openai-anthropic-forecast-2024/,Early generative AI raise pre-ChatGPT. 'London-based AI-driven visual art startup Stability AI raised big funding' in late 2022 per Crunchbase. Valued at $1B. Company later faced financial distress in 2023-2024.
Jasper,AI,AI Content Generation / LLM Applications,2022,Q4,125,Series A,Insight Partners; Coatue; Bessemer,USA,Crunchbase News — Artificial Buildup: AI Startups Were Hot In 2023,https://news.crunchbase.com/ai/hot-startups-2023-openai-anthropic-forecast-2024/,"'Austin, Texas-based AI content platform Jasper raised big funding' in late 2022 per Crunchbase. Valued at $1.5B. One of the pre-ChatGPT AI content wave raises."
Cohere,AI,Foundation Model / LLM Infrastructure,2022,Q4,125,Series B,Tiger Global,Canada,TechCrunch / Crunchbase,https://techcrunch.com/2022/11/08/cohere-raises-125m-at-2-1b-valuation/,Enterprise-focused LLM platform. Valued at $2.1B. One of the pre-ChatGPT foundation model raises.
OpenAI,AI,Foundation Model / Generative AI,2023,Q1,10000,Strategic Investment,Microsoft,USA,Crunchbase News — AI Was Q2 Big Hope To Reverse Global Venture Funding Slowdown,https://news.crunchbase.com/venture/vc-funding-falling-report-data-q2-2023-global/,⚠️ MEGA-ROUND DISTORTION: Single largest AI round of 2023 = ~20% of the entire $50B annual total. 'Companies categorized as AI raised $25B in H1 2023 — includes the $10B funding to OpenAI led by Microsoft in January.' Microsoft multi-year partnership investment. ChatGPT had launched Dec 2022 six weeks earlier.
Anthropic,AI,Foundation Model / Generative AI (Safety-focused),2023,Q1,300,Series C,Spark Capital,USA,Crunchbase News — Artificial Buildup: AI Startups Were Hot In 2023,https://news.crunchbase.com/ai/hot-startups-2023-openai-anthropic-forecast-2024/,Pre-investment valuation $4.1B per Crunchbase. Claude AI assistant. Later raised up to $2B from Google (Q4 2023) and $4B from Amazon (Q1 2024).
Inflection AI,AI,Foundation Model / Generative AI,2023,Q2,1300,Series B,Microsoft; NVIDIA; Reid Hoffman; Bill Gates; Eric Schmidt,USA,Crunchbase News — Artificial Buildup: AI Startups Were Hot In 2023,https://news.crunchbase.com/ai/hot-startups-2023-openai-anthropic-forecast-2024/,Founded by DeepMind co-founder Mustafa Suleyman. Part of the $18B collectively raised by OpenAI + Anthropic + Inflection in 2023 = 36% of annual AI total. Suleyman later moved to Microsoft.
Mistral AI,AI,Foundation Model / Open-Weight LLM,2023,Q2,113,Seed,Lightspeed Venture Partners,France,Crunchbase News — Artificial Buildup: AI Startups Were Hot In 2023,https://news.crunchbase.com/ai/hot-startups-2023-openai-anthropic-forecast-2024/,"'Paris-based Mistral AI raised near $500M' — the €113M seed round in June, then ~€385M Series A in Dec 2023. One of the largest seed rounds in European history at the time."
Aleph Alpha,AI,Foundation Model / European Sovereign AI,2023,Q2,500,Series B,Bosch; SAP; Volkswagen; Schwarz Group; Burda,Germany,Crunchbase News — Artificial Buildup: AI Startups Were Hot In 2023,https://news.crunchbase.com/ai/hot-startups-2023-openai-anthropic-forecast-2024/,"'Germany-based Aleph Alpha raised rounds at or near $500M' per Crunchbase. European sovereign AI model. Strategic corporate investors — Bosch, SAP, Volkswagen."
Anthropic,AI,Foundation Model / Generative AI (Safety-focused),2023,Q4,2000,Strategic Investment,Google,USA,Crunchbase News — Artificial Buildup: AI Startups Were Hot In 2023,https://news.crunchbase.com/ai/hot-startups-2023-openai-anthropic-forecast-2024/,'Anthropic reportedly raised up to $2B from Google in October. Seeking valuation between $20B and $30B' per Crunchbase. Google had also invested $300M in Anthropic in early 2023.
Databricks,AI,AI Data / MLOps / Lakehouse Platform,2024,Q4,10000,Series J,Thrive Capital; Andreessen Horowitz; DST Global,USA,Crunchbase News — Eye On AI: AI Venture Funding Shattered Quarterly Records In Q4 (Jan 8 2025),https://news.crunchbase.com/ai/venture-funding-shattered-quarterly-records-q4-2024/,"'The largest venture capital raise of 2024 and one of the largest on record' per Crunchbase. Valued at $62B. One of four massive Q4 2024 rounds (with OpenAI, xAI, Anthropic) that pushed Q4 AI funding to $42B = 42% of the full year."
OpenAI,AI,Foundation Model / Generative AI,2024,Q4,6600,Private Round,Thrive Capital,USA,Crunchbase News — Eye On AI: AI Venture Funding Shattered Quarterly Records In Q4,https://news.crunchbase.com/ai/venture-funding-shattered-quarterly-records-q4-2024/,"Valued at $157B post-money. 'In early October, OpenAI announced its long-awaited raise of $6.6 billion at a post-money valuation of $157 billion led by Thrive Capital.' Part of the Q4 2024 AI mega-deal cluster."
xAI,AI,Foundation Model / Generative AI,2024,Q4,6000,Series C,Qatar Investment Authority; Valor Equity Partners; a16z; Sequoia,USA,Crunchbase News — Eye On AI: AI Venture Funding Shattered Quarterly Records In Q4,https://news.crunchbase.com/ai/venture-funding-shattered-quarterly-records-q4-2024/,Elon Musk's AI company. 'xAI raised another $6 billion in a funding round valuing it at $50 billion.' Part of Q4 2024 cluster.
Anthropic,AI,Foundation Model / Generative AI (Safety-focused),2024,Q4,4000,Strategic Investment,Amazon,USA,Crunchbase News — Eye On AI: AI Venture Funding Shattered Quarterly Records In Q4,https://news.crunchbase.com/ai/venture-funding-shattered-quarterly-records-q4-2024/,'Amazon agreed to invest another $4 billion in AI startup Anthropic — giving it a minority stake.' Amazon's total Anthropic investment reached $8B with this tranche.
xAI,AI,Foundation Model / Generative AI,2024,Q2,6000,Series B,Valor Equity Partners; Andreessen Horowitz; Sequoia; Fidelity,USA,Crunchbase News — Monthly Recap May 2024,https://news.crunchbase.com/venture/monthly-funding-recap-may-2024/,"'Elon Musk's xAI raised the largest funding [in May 2024], $6 billion at a $24 billion valuation.' First major xAI raise after company founded in 2023."
Anthropic,AI,Foundation Model / Generative AI (Safety-focused),2024,Q1,4000,Strategic Investment,Amazon; Google,USA,Crunchbase News — Q1 2025 Global Startup Funding (references Anthropic Q4 2024 and Q1 2025 raises),https://news.crunchbase.com/venture/global-funding-strong-q1-2025-ai-data/,'Anthropic raised $4 billion in Q4 [2024].' Q1 2024 also saw Amazon complete its originally announced $4B commitment to Anthropic. Combined 2024 total Amazon investment in Anthropic = $8B.
Mistral AI,AI,Foundation Model / Open-Weight LLM,2024,Q1,600,Series B,General Catalyst; Andreessen Horowitz; Lightspeed,France,Crunchbase / TechCrunch,https://news.crunchbase.com/venture/startups-ai-seed-investors-data-charts-ye-2024/,600M EUR (~$640M USD). Valued at $6B. Open-weight LLM model competing with Meta Llama. European sovereign AI champion.
OpenAI,AI,Foundation Model / Generative AI,2025,Q1,40000,Private Round,SoftBank,USA,Crunchbase News — Q1 Global Startup Funding Posts Strongest Quarter Since Q2 2022 (Apr 2025),https://news.crunchbase.com/venture/global-funding-strong-q1-2025-ai-data/,⚠️ MEGA-ROUND DISTORTION: 'Record-setting $40 billion SoftBank-backed financing in March' = ~19% of the entire $211B 2025 AI annual total. 'Largest round ever raised by a private VC-backed company.' Valued at $300B. 'OpenAI has raised a total of $57.6 billion since founding.' SoftBank to build syndicate of co-investors for $10B; funds remaining $30B itself with $10B in debt.
Anthropic,AI,Foundation Model / Generative AI (Safety-focused),2025,Q1,4500,Strategic / Private,Multiple — Google; Amazon continuing investment,USA,Crunchbase News — Q1 Global Startup Funding Posts Strongest Quarter Since Q2 2022,https://news.crunchbase.com/venture/global-funding-strong-q1-2025-ai-data/,"'Anthropic raised $4.5 billion across two funding rounds [in Q1 2025], after raising $4 billion in Q4 [2024].' Cumulative Anthropic fundraising exceeded $20B by mid-2025. Valued at $61.5B in March 2025 raise."
Scale AI,AI,AI Data Labeling / RLHF Infrastructure,2025,Q2,14300,Series F,Accel,USA,Crunchbase News — Q2 Global Venture Funding Climbs In Blockbuster Quarter For AI (Aug 2025),https://news.crunchbase.com/venture/global-funding-climbs-q2-2025-ai-ma-data/,"'Scale AI, with $14.3 billion in Q2' was the second-largest single venture round on record at the time, after OpenAI Q1. 'Both of the two largest venture fundings on record were raised this year [2025].' Valued at $13.8B in 2024, surged to ~$140B+ with this raise."
Anthropic,AI,Foundation Model / Generative AI (Safety-focused),2025,Q3,3500,Private Round,Lightspeed Venture Partners,USA,Crunchbase News — The Weeks Biggest Funding Rounds: AI And Defense Tech Lead (Mar 2025),https://news.crunchbase.com/venture/biggest-funding-rounds-ai-defense-anthropic-epirus/,"'Anthropic raised a $3.5 billion funding round led by Lightspeed Venture Partners, valuing it at $61.5 billion.' Q3 2025 also saw Anthropic receive $28B from Google per Q3 2025 Crunchbase global recap."
xAI,AI,Foundation Model / Generative AI,2025,Q1,6000,Series D (reported),Multiple undisclosed,USA,Crunchbase News — As Funding To AI Startups Increases And Concentrates Which Investors Have Led (Aug 2025),https://news.crunchbase.com/venture/big-dollar-ai-investors-2025-softbank/,"xAI was among '8 companies that collectively raised $73B via billion-dollar rounds [in 2025], representing 62% of AI funding.' xAI raised additional rounds across 2025; exact Q1 round details need primary verification."
Safe Superintelligence (SSI),AI,Foundation Model / Generative AI (Safety-focused),2025,Q4,2000,Undisclosed,Greenoaks,USA,Crunchbase News — The Weeks 10 Biggest Funding Rounds: A Lot Of Really Big Deals (Nov 2025),https://news.crunchbase.com/venture/biggest-funding-rounds-ai-fintech-lambda/,Founded by Ilya Sutskever (former OpenAI chief scientist). 'Greenoaks led the $2 billion funding to Safe Superintelligence.' Among the 15 companies that raised $2B+ in 2025.
Northvolt,Climate,Battery Manufacturing / Clean Energy Production,2022,Q2,2800,Debt and Equity,Multiple institutional — Goldman Sachs; Volkswagen; others,Sweden,Crunchbase News — Battery Tech And Fusion Dominate Big Energy Tech Funding Rounds (Mar 2022 — references $2.8B June 2022 financing),https://news.crunchbase.com/business/battery-fusion-clean-energy-tech-startups-venture/,"'Northvolt is by far the largest recent funding recipient, raising $2.8 billion in a June financing.' Lithium-ion battery manufacturer using clean energy in production. ⚠️ Northvolt filed for bankruptcy November 2024 after failing to achieve production scale despite $15B+ in lifetime funding."
Redwood Materials,Climate,Battery Recycling / Circular EV Supply Chain,2022,Q3,750,Series C,Goldman Sachs; T. Rowe Price; Capricorn Investment Group,USA,Crunchbase News — Battery Tech And Fusion Dominate Big Energy Tech Funding Rounds,https://news.crunchbase.com/business/battery-fusion-clean-energy-tech-startups-venture/,"'Redwood Materials, a startup building a closed-loop supply chain for electric vehicles, pulled in $750 million in funding since last summer.' Founded by former Tesla CTO JB Straubel. Later raised $1B Series D in August 2023."
Silicon Ranch,Climate,Utility-Scale Solar Energy,2022,Q2,600,Equity,Undisclosed,USA,Understory Newsletter — 2022 Climate Tech Funding Recap,https://understory.substack.com/p/139-2022-climate-tech-funding-almost,Solar energy company raised $600M round in 2022. One of the notable 2022 climate rounds outside the battery sector.
Generate Capital,Climate,Climate Infrastructure / Sustainable Infrastructure Investment,2022,Q3,1500,Debt + Equity (Infrastructure),Undisclosed,USA,Crunchbase News — The Weeks 10 Biggest Funding Rounds: Bigger Financing Led By AI And Defense (references Generate $1.5B),https://news.crunchbase.com/venture/biggest-funding-rounds-ai-defense-anthropic-epirus/,Crunchbase weekly 'Lots of big rounds this week with none bigger than the whopping $1.5 billion raised by sustainability and infrastructure investment firm Generate.' Generate Capital funds clean energy and sustainable infrastructure projects across multiple asset classes.
Verkor,Climate,Battery Manufacturing / EV Battery Gigafactory,2023,Q3,2100,Series C + Debt (combined),Meridiam; Renault; Schneider Electric; EIT InnoEnergy,France,Crunchbase News — Global Sustainability-Focused Funding Was Pretty Flat In 2023 (Dec 2023),https://news.crunchbase.com/clean-tech-and-energy/global-sustainability-funding-eoy-2023,"'Most heavily funded [of 2023]: Verkor, a French startup focused on low-carbon battery manufacturing, raised $2.1 billion in debt and equity financing in September, including a $900 million Series C.' Plans to open first gigafactory in 2025. Backed by EU industrial consortium."
Northvolt,Climate,Battery Manufacturing,2023,Q3,1200,Convertible Note,Undisclosed institutional,Sweden,Crunchbase News — The 10 Biggest Rounds Of August: Redwood And Peregrine (Aug 2023),https://news.crunchbase.com/venture/biggest-rounds-august-2023-redwood-peregrine/,'Stockholm-headquartered Northvolt raised a $1.2 billion convertible note in late August.' One of multiple 2022-2023 Northvolt raises totalling $15B+. ⚠️ Northvolt filed for bankruptcy November 2024.
Redwood Materials,Climate,Battery Recycling / Circular EV Supply Chain,2023,Q3,1000,Series D,Goldman Sachs Asset Management; Capricorn Technology Impact Fund; T. Rowe Price,USA,Crunchbase News — The 10 Biggest Rounds Of August: Redwood And Peregrine,https://news.crunchbase.com/venture/biggest-rounds-august-2023-redwood-peregrine/,'Battery materials firm Redwood Materials followed suit with a massive $1 billion-plus in new funding. The round was co-led by Goldman Sachs Asset Management.' Also received $2B conditional DOE loan commitment (not counted in VC total). Largest US cleantech equity round of 2023.
Peregrine Energy,Climate,Energy / Distributed Energy,2023,Q3,700,Undisclosed,Undisclosed,USA,Crunchbase News — The 10 Biggest Rounds Of August: Redwood And Peregrine,https://news.crunchbase.com/venture/biggest-rounds-august-2023-redwood-peregrine/,'Peregrine Energy raised $700M' in August 2023 — appeared #2 in Crunchbase's biggest rounds of August 2023 issue. Exact details of round type and investors not confirmed in retrieved sources.
Ascend Elements,Climate,Battery Materials / Li-ion Recycling,2023,Q4,460,Series D,Decarbonization Partners (BlackRock + Temasek JV),USA,Crunchbase News — Global Sustainability-Focused Funding Was Pretty Flat In 2023,https://news.crunchbase.com/clean-tech-and-energy/global-sustainability-funding-eoy-2023,"'Ascend Elements, a Massachusetts-based manufacturer of battery materials using elements reclaimed from spent lithium-ion batteries, secured $460 million in Series D funding.' One of the battery recycling deals that dominated 2023 cleantech."
Northvolt,Climate,Battery Manufacturing,2024,Q1,5000,Project Finance (Debt),Undisclosed (project finance lenders),Sweden,Crunchbase News — Sustainability-Focused Startup Equity Funding Fell In H1 2024 (Aug 2024),https://news.crunchbase.com/clean-tech-and-energy/clean-tech-energy-cleantech-startup-funding-venture-northvolt-sila/,"'Northvolt, a sustainability-focused battery manufacturer, landed $5 billion in project financing to expand its facilities' in January 2024. ⚠️ DEBT INSTRUMENT — project finance not equity. ⚠️ NORTHVOLT BANKRUPT: Filed Chapter 11 November 2024. This $5B project financing is one of the largest single climate finance deals of 2024 but ended in failure within 10 months."
H2 Green Steel,Climate,Green Hydrogen / Green Steel Manufacturing,2024,Q1,4600,Debt Financing,Goldman Sachs; HSBC; others,Sweden,Crunchbase News — Sustainability-Focused Startup Equity Funding Fell In H1 2024,https://news.crunchbase.com/clean-tech-and-energy/clean-tech-energy-cleantech-startup-funding-venture-northvolt-sila/,'H2 Green Steel closed on $4.6 billion in debt financing to go toward what it described as the world's first large-scale green steel plant.' January 2024. ⚠️ DEBT INSTRUMENT — project finance not equity VC. Uses green hydrogen as energy source for fossil-fuel-free steel production.
Twelve,Climate,Carbon Transformation / E-fuels,2024,Q3,645,Series C + Project Financing,TPG Rise Climate Fund,USA,Crunchbase News — Carbon Capture Storage And Transformation Is Still A Popular Funding Theme (Sep 2024),https://news.crunchbase.com/clean-tech-and-energy/carbon-capture-storage-transformation-funding-twelve-2024/,"'By far the largest chunk of capital went to Twelve, a carbon transformation startup. $200M Series C + $400M project financing + $45M credit facility with TPG Rise Climate Fund as lead.' Converts captured CO2 into chemicals, fuels and materials. Berkeley CA. Founded 2015."
X-energy,Climate,Advanced Nuclear / Small Modular Reactor (SMR),2024,Q3,500,Strategic Investment,Amazon (Amazon Web Services),USA,Crunchbase News — The Biggest Non-AI Related Rounds Of 2024,https://news.crunchbase.com/venture/biggest-non-ai-related-rounds-2024-epic-generate/,"'Rockville, Maryland-based company is developing advanced small modular nuclear reactors for clean energy generation. Amazon and X-energy are collaborating to bring more than 5 gigawatts of new power projects online across the United States by 2039.' Amazon strategic investment to power data centers with clean nuclear energy."
Heirloom Carbon,Climate,Direct Air Capture / Carbon Removal,2024,Q4,150,Series B,Lowercarbon Capital; Energy Impact Partners,USA,Crunchbase News — 2024 Funding Pacific Fusion Intersect Power (Dec 2024),https://news.crunchbase.com/clean-tech-and-energy/2024-funding-pacific-fusion-intersect-power/,'Lowercarbon Capital co-led investment in this month's $150 million Series B for direct air capture company Heirloom.' Uses limestone to capture CO2 from the air. One of the largest direct air capture equity raises of 2024.
Electra,Climate,Clean Iron / Green Steelmaking,2025,Q2,186,Series B,Undisclosed,USA,Crunchbase News — Investment In Startups Tied To Clean Energy And Sustainability Is On Track For A Sharp Decline (early 2025),https://news.crunchbase.com/clean-tech-and-energy/sustainability-funding-falling-2025/,'Electra [secured a] $186 million Series B.' Boulder-based company produces clean iron using renewable electricity. Part of the emerging green materials wave.
